2025-06-16 17:25:10,446 INFO    MainThread:2051900 [wandb_setup.py:_flush():67] Current SDK version is 0.19.9
2025-06-16 17:25:10,447 INFO    MainThread:2051900 [wandb_setup.py:_flush():67] Configure stats pid to 2051900
2025-06-16 17:25:10,447 INFO    MainThread:2051900 [wandb_setup.py:_flush():67] Loading settings from /home/user/.config/wandb/settings
2025-06-16 17:25:10,447 INFO    MainThread:2051900 [wandb_setup.py:_flush():67] Loading settings from /home/user/Desktop/kjy/DIFUSCO/wandb/settings
2025-06-16 17:25:10,447 INFO    MainThread:2051900 [wandb_setup.py:_flush():67] Loading settings from environment variables
2025-06-16 17:25:10,447 INFO    MainThread:2051900 [wandb_init.py:setup_run_log_directory():662] Logging user logs to /home/user/Desktop/kjy/DIFUSCO/data/models/wandb/offline-run-20250616_172510-2fc9p1ky/logs/debug.log
2025-06-16 17:25:10,447 INFO    MainThread:2051900 [wandb_init.py:setup_run_log_directory():663] Logging internal logs to /home/user/Desktop/kjy/DIFUSCO/data/models/wandb/offline-run-20250616_172510-2fc9p1ky/logs/debug-internal.log
2025-06-16 17:25:10,447 INFO    MainThread:2051900 [wandb_init.py:init():781] calling init triggers
2025-06-16 17:25:10,447 INFO    MainThread:2051900 [wandb_init.py:init():786] wandb.init called with sweep_config: {}
config: {'_wandb': {}}
2025-06-16 17:25:10,447 INFO    MainThread:2051900 [wandb_init.py:init():809] starting backend
2025-06-16 17:25:10,680 INFO    MainThread:2051900 [wandb_init.py:init():813] sending inform_init request
2025-06-16 17:25:10,717 INFO    MainThread:2051900 [backend.py:_multiprocessing_setup():101] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2025-06-16 17:25:10,717 INFO    MainThread:2051900 [wandb_init.py:init():823] backend started and connected
2025-06-16 17:25:10,720 INFO    MainThread:2051900 [wandb_init.py:init():915] updated telemetry
2025-06-16 17:25:10,754 INFO    MainThread:2051900 [wandb_init.py:init():939] communicating run to backend with 90.0 second timeout
2025-06-16 17:25:10,831 INFO    MainThread:2051900 [wandb_init.py:init():1014] starting run threads in backend
2025-06-16 17:25:10,919 INFO    MainThread:2051900 [wandb_run.py:_console_start():2454] atexit reg
2025-06-16 17:25:10,920 INFO    MainThread:2051900 [wandb_run.py:_redirect():2306] redirect: wrap_raw
2025-06-16 17:25:10,920 INFO    MainThread:2051900 [wandb_run.py:_redirect():2371] Wrapping output streams.
2025-06-16 17:25:10,920 INFO    MainThread:2051900 [wandb_run.py:_redirect():2394] Redirects installed.
2025-06-16 17:25:10,922 INFO    MainThread:2051900 [wandb_init.py:init():1056] run started, returning control to user process
